날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 미국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 아르헨티나","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 인도",참고사항
2026년 4월 11일,157,153,1,0,2,
2026년 4월 12일,177,176,0,0,1,
2026년 4월 13일,141,140,0,0,0,
2026년 4월 14일,148,147,0,1,0,
2026년 4월 15일,136,136,0,0,0,버전 출시: 100%를 대상으로 4015 (4.4.1) 출시 시작됨.
2026년 4월 16일,128,128,0,0,0,
2026년 4월 17일,80,80,0,0,0,
2026년 4월 18일,91,91,0,0,0,
2026년 4월 19일,121,121,0,0,0,
2026년 4월 20일,86,86,0,0,0,버전 출시: 100%를 대상으로 4018 (4.4.2) 출시 시작됨.
2026년 4월 21일,44,44,0,0,0,
2026년 4월 22일,53,53,0,0,0,
2026년 4월 23일,63,63,0,0,0,
2026년 4월 24일,59,59,0,0,0,
2026년 4월 25일,76,76,0,0,0,
2026년 4월 26일,88,88,0,0,0,
2026년 4월 27일,75,74,0,0,0,
2026년 4월 28일,52,52,0,0,0,
2026년 4월 29일,47,47,0,0,0,
2026년 4월 30일,81,81,0,0,0,
2026년 5월 1일,79,78,0,0,0,
2026년 5월 2일,62,62,0,0,0,
2026년 5월 3일,82,82,0,0,0,
2026년 5월 4일,191,189,0,1,0,
2026년 5월 5일,173,172,0,0,0,
2026년 5월 6일,114,112,0,1,0,버전 출시: 100%를 대상으로 4019 (4.5.0) 출시 시작됨.
2026년 5월 7일,122,121,0,0,0,
2026년 5월 8일,152,152,0,0,0,
2026년 5월 9일,115,115,0,0,0,
2026년 5월 10일,113,110,1,0,1,
2026년 5월 11일,94,94,0,0,0,
2026년 5월 12일,113,113,0,0,0,
2026년 5월 13일,95,94,0,0,0,
2026년 5월 14일,92,92,0,0,0,
2026년 5월 15일,73,73,0,0,0,
2026년 5월 16일,112,112,0,0,0,
2026년 5월 17일,109,109,0,0,0,
2026년 5월 18일,95,95,0,0,0,
2026년 5월 19일,101,101,0,0,0,
2026년 5월 20일,89,89,0,0,0,
2026년 5월 21일,109,108,0,0,0,버전 출시: 20%를 대상으로 4020 (4.6.0) 출시 시작됨. 버전 출시: 4020 (4.6.0) 출시 대상을 100%로 확대함.
2026년 5월 22일,85,85,0,0,0,
2026년 5월 23일,106,104,0,0,0,
2026년 5월 24일,110,109,0,0,0,
2026년 5월 25일,95,94,0,0,1,
2026년 5월 26일,91,91,0,0,0,
2026년 5월 27일,125,125,0,0,0,
2026년 5월 28일,91,91,0,0,0,
2026년 5월 29일,80,78,0,0,0,
2026년 5월 30일,106,105,0,0,0,
